,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean
218,TMP_925mb,0.343283582,0.008329477,0.43902439,0.270588235,0.334954105,0.412512227,0.968371239,0.540856725
219,TMP_925mb,0.373134328,0.008792226,0.431818182,0.290697674,0.364342103,0.437028814,0.970633694,0.548951049
220,TMP_900mb,0.373134328,0.009254975,0.444444444,0.287356322,0.363879354,0.432720344,0.969097765,0.536315977
221,TMP_900mb,0.358208955,0.008329477,0.428571429,0.282352941,0.349879478,0.427090008,0.970348236,0.55175794
222,TMP_900mb,0.358208955,0.009717723,0.466666667,0.272727273,0.348491232,0.414421,0.965444004,0.51363567
223,TMP_900mb,0.343283582,0.008792226,0.452380952,0.26744186,0.334491356,0.408306074,0.966628079,0.52749096
224,TMP_875mb,0.358208955,0.008329477,0.428571429,0.282352941,0.349879478,0.427090008,0.970348236,0.55175794
225,TMP_875mb,0.343283582,0.008329477,0.43902439,0.270588235,0.334954105,0.412512227,0.968371239,0.540856725
226,TMP_875mb,0.343283582,0.008792226,0.452380952,0.26744186,0.334491356,0.408306074,0.966628079,0.52749096
227,TMP_875mb,0.358208955,0.008792226,0.441860465,0.279069767,0.349416729,0.422793104,0.968712303,0.538459901
228,TMP_850mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
229,TMP_850mb,0.358208955,0.009254975,0.454545455,0.275862069,0.348953981,0.418570742,0.967077559,0.525765901
230,TMP_850mb,0.313432836,0.008329477,0.461538462,0.247058824,0.305103359,0.382563587,0.963867251,0.517447377
231,TMP_850mb,0.313432836,0.008792226,0.475,0.244186047,0.30464061,0.378550954,0.96188067,0.503976234
232,TMP_825mb,0.343283582,0.008329477,0.43902439,0.270588235,0.334954105,0.412512227,0.968371239,0.540856725
233,TMP_825mb,0.343283582,0.008329477,0.43902439,0.270588235,0.334954105,0.412512227,0.968371239,0.540856725
234,TMP_825mb,0.328358209,0.008329477,0.45,0.258823529,0.320028732,0.397672463,0.966219034,0.529433272
235,TMP_825mb,0.328358209,0.008329477,0.45,0.258823529,0.320028732,0.397672463,0.966219034,0.529433272
